No.;Nama;Base Attack;Base Defense;Bentuk Sebelumnya;Evolusi ke;Total Evolusi;Tipe;Kuat Terhadap;RIceistan Terhadap;Legendaris;Deskripsi;Efek;M/G;Biaya;Cek Evolusi;Bonus;Attack;Deffense;id;check MG;chek error
890;Eternatus;145;95;-;1;1;Poison, Dragon;Fire, Grass, Bug;Ground, Electric, Ice;Ya;Pokemon legendaris yang mampu menyerap energi dari Galar. Sangat kuat dan berbahaya.;;;6;-;2;1890;1130;890;;
894;Regieleki;100;50;-;1;1;Electric;Water, Flying;Electric, Steel;Ya;Pokemon legendaris yang dapat menghasilkan arus listrik yang sangat kuat.;;;6;-;3;2120;910;894;;
895;Regidrago;100;50;-;1;1;Dragon;Dragon, Rock, Ground;Water, Fire, Dragon;Ya;Pokemon yang memiliki kekuatan luar biasa yang tertidur di dalam tubuhnya.;;;6;-;1;2040;970;895;;
152;Chikorita;49;65;-;1;3;Grass;Water, Rock, Ground;Water, Grass, Ground;Tidak;Pokemon yang menggunakan daunnya untuk merasakan sinyal di sekitarnya.;;;1;-;-4;200;260;152;;
153;Bayleef;62;80;Chikorita;2;3;Grass;Water, Rock, Ground;Water, Grass, Ground;Tidak;Aromanya yang berasal dari tubuhnya membuat orang merasa sehat.;;;3;Chikorita;-2;630;850;153;;
154;Meganium;82;100;Bayleef;3;3;Grass;Water, Rock, Ground;Water, Grass, Ground;Tidak;Pokemon yang dapat memulihkan tumbuhan layu hanya dengan menghembuskan nafasnya.;;;5;Bayleef;0;1130;1370;154;;
155;Cyndaquil;52;43;-;1;3;Fire;Bug, Grass, Ice;Fire, Steel, Bug;Tidak;Pokemon yang pemalu dan menyalakan punggung apinya saat terancam.;;;1;-;-4;250;210;155;;
156;Quilava;64;58;Cyndaquil;2;3;Fire;Bug, Grass, Ice;Fire, Steel, Bug;Tidak;Api di punggung Quilava mampu menghalau musuh dengan ledakan.;;;3;Cyndaquil;-2;760;720;156;;
157;Typhlosion;84;78;Quilava;3;3;Fire;Bug, Grass, Ice;Fire, Steel, Bug;Tidak;Jika Typhlosion marah, ia membakar segalanya dengan suhu yang luar biasa.;;;5;Quilava;0;1300;1200;157;;
158;Totodile;65;64;-;1;3;Water;Fire, Ground, Rock;Fire, Water, Ice;Tidak;Pokemon buaya yang ceria namun cenderung menggigit apapun tanpa berpikir.;;;1;-;-4;230;230;158;;
159;Croconaw;80;80;Totodile;2;3;Water;Fire, Ground, Rock;Fire, Water, Ice;Tidak;Gigitan kuat Croconaw membuat musuh sulit melepaskan diri.;;;3;Totodile;-2;720;760;159;;
160;Feraligatr;105;100;Croconaw;3;3;Water;Fire, Ground, Rock;Fire, Water, Ice;Tidak;Feraligatr menggunakan tubuhnya yang besar untuk menerjang musuh dengan kuat.;;;5;Croconaw;0;1280;1220;160;;
209;Snubbull;80;50;-;1;2;Fairy;Dragon, Dark, Fighting;Bug, Dark, Psychic;Tidak;Walau tampak galak, Snubbull sebenarnya pemalu dan lebih suka menghindar dari pertarungan.;;;2;-;-3;580;390;209;;
210;Granbull;120;75;Snubbull;2;2;Fairy;Dragon, Dark, Fighting;Bug, Dark, Psychic;Tidak;Granbull menggunakan rahang kuatnya untuk melindungi dirinya dari ancaman.;;;4;Snubbull;-1;1210;780;210;;
280;Ralts;45;35;-;1;3;Psychic, Fairy;Dragon, Dark, Fighting;Bug, Dark, Dragon;Tidak;Pokemon yang merasakan emosi orang di sekitarnya dengan tanduk di kepalanya.;;;1;-;-3;260;210;280;;
281;Kirlia;65;55;Ralts;2;3;Psychic, Fairy;Dragon, Dark, Fighting;Bug, Dark, Dragon;Tidak;Kirlia dapat memperkuat kekuatan psikokinetiknya ketika merasa senang.;;;3;Ralts;-1;800;690;281;;
282;Gardevoir;85;65;Kirlia;3;3;Psychic, Fairy;Dragon, Dark, Fighting;Bug, Dark, Dragon;Tidak;Pokemon yang memiliki kekuatan besar untuk melindungi pelatihnya dari bahaya.;;;5;Kirlia;1;1450;1060;282;;
475;Gallade;125;65;Kirlia;3;3;Psychic, Fighting;Dark, Steel, Dragon;Psychic, Fairy, Bug;Tidak;Gallade dikenal karena sifat ksatrianya, selalu melindungi yang lemah.;;;5;Kirlia;1;1680;830;475;;
298;Azurill;20;40;-;1;3;Normal, Fairy;Dragon, Fighting, Dark;Bug, Dark, Dragon;Tidak;Pokemon kecil yang suka bermain-main dengan ekornya yang berbentuk bola.;;;1;-;-3;160;310;298;;
183;Marill;20;50;Azurill;2;3;Water, Fairy;Fire, Dragon, Dark;Fire, Ice, Ground;Tidak;Marill menggunakan ekornya yang elastis untuk berenang tanpa tenggelam.;;;3;Azurill;-1;420;1070;183;;
184;Azumarill;50;80;Marill;3;3;Water, Fairy;Fire, Dragon, Dark;Fire, Ice, Ground;Tidak;Azumarill menggunakan kemampuan berenangnya yang luar biasa untuk menyelamatkan orang tenggelam.;;;5;Marill;1;980;1530;184;;
387;Turtwig;68;64;-;1;3;Grass;Water, Ground, Rock;Water, Grass, Ground;Tidak;Pokemon kecil dengan daun di kepalanya yang menyerap sinar matahari untuk menghasilkan energi.;;;1;-;-4;240;220;387;;
388;Grotle;89;85;Turtwig;2;3;Grass;Water, Ground, Rock;Water, Grass, Ground;Tidak;Grotle membawa hutan kecil di punggungnya yang digunakan untuk bersembunyi.;;;3;Turtwig;-2;740;740;388;;
389;Torterra;109;105;Grotle;3;3;Grass, Ground;Water, Steel, Rock;Water, Grass, Ground;Tidak;Pokemon besar yang memiliki taman mini di punggungnya, dikenal sebagai pembawa kehidupan.;;;5;Grotle;1;1300;1210;389;;
390;Chimchar;58;44;-;1;3;Fire;Bug, Grass, Ice;Fire, Steel, Bug;Tidak;Pokemon yang sangat gesit, sering menggunakan api di ekornya sebagai alat pertahanan.;;;1;-;-4;260;200;390;;
391;Monferno;78;52;Chimchar;2;3;Fire, Fighting;Steel, Bug, Ice;Fire, Steel, Bug;Tidak;Pokemon yang cepat dan gesit, menggunakan teknik bertarung untuk mengatasi musuh yang lebih besar.;;;3;Chimchar;-1;880;610;391;;
392;Infernape;104;71;Monferno;3;3;Fire, Fighting;Steel, Bug, Ice;Fire, Steel, Bug;Tidak;Infernape terkenal karena kecepatan dan kekuatan pukulannya yang menakjubkan.;;;5;Monferno;1;1520;990;392;;
393;Piplup;51;53;-;1;3;Water;Fire, Ground, Rock;Water, Ice, Steel;Tidak;Pokemon penguin yang canggung di darat tetapi sangat terampil berenang.;;;1;-;-4;230;230;393;;
394;Prinplup;68;76;Piplup;2;3;Water;Fire, Ground, Rock;Water, Ice, Steel;Tidak;Prinplup sangat bangga, tidak suka bergaul dengan Pokemon lain.;;;3;Piplup;-2;680;800;394;;
395;Empoleon;86;88;Prinplup;3;3;Water, Steel;Fire, Dragon, Rock;Water, Ice, Dragon;Tidak;Empoleon menggunakan sayapnya yang kuat seperti pisau baja untuk bertarung.;;;5;Prinplup;1;1260;1250;395;;
403;Shinx;65;34;-;1;3;Electric;Water, Flying, Steel;Electric, Steel, Flying;Tidak;Pokemon kecil yang menghasilkan kilatan cahaya saat merasa terancam.;;;1;-;-4;300;160;403;;
404;Luxio;85;49;Shinx;2;3;Electric;Water, Flying, Steel;Electric, Steel, Flying;Tidak;Luxio adalah Pokemon yang sangat setia dan melindungi kelompoknya.;;;3;Shinx;-2;910;570;404;;
405;Luxray;120;79;Luxio;3;3;Electric;Water, Flying, Steel;Electric, Steel, Flying;Tidak;Luxray dapat melihat melalui objek dengan penglihatannya yang tajam.;;;5;Luxio;0;1510;990;405;;
427;Buneary;66;44;-;1;2;Normal;Ghost;Ghost, Psychic;Tidak;Buneary melipat telinganya yang panjang untuk melindungi diri dari serangan.;;;2;-;0;600;400;427;;
428;Lopunny;76;84;Buneary;2;2;Normal;Ghost;Ghost, Psychic;Tidak;Pokemon yang anggun dan sangat cepat, menggunakan kakinya untuk menyerang dengan tendangan.;;;4;Buneary;2;990;1030;428;;
447;Riolu;70;40;-;1;2;Fighting;Steel, Rock, Dark;Bug, Rock, Dark;Tidak;Riolu memiliki semangat juang yang tinggi dan sangat setia kepada pelatihnya.;;;2;-;-3;600;370;447;;
448;Lucario;110;70;Riolu;2;2;Fighting, Steel;Ice, Rock, Steel;Steel, Rock, Dark;Tidak;Lucario dapat merasakan emosi dan energi di sekitarnya dengan kemampuannya yang luar biasa.;;;4;Riolu;0;1220;780;448;;
453;Croagunk;61;40;-;1;2;Poison, Fighting;Psychic, Grass, Ice;Poison, Bug, Grass;Tidak;Croagunk menggunakan racunnya yang ada di tangan untuk menyerang lawan.;;;2;-;-2;580;400;453;;
454;Toxicroak;106;65;Croagunk;2;2;Poison, Fighting;Psychic, Grass, Ice;Poison, Bug, Grass;Tidak;Racun di cakar Toxicroak sangat berbahaya, dapat melumpuhkan lawan seketika.;;;4;Croagunk;0;1240;760;454;;
459;Snover;62;50;-;1;2;Grass, Ice;Ground, Water, Rock;Water, Ground, Grass;Tidak;Pokemon yang hidup di daerah bersalju, dan menyebarkan salju kemana pun dia pergi.;;;2;-;-2;530;450;459;;
460;Abomasnow;92;75;Snover;2;2;Grass, Ice;Ground, Water, Rock;Water, Ground, Grass;Tidak;"Abomasnow dikenal sebagai ""Pohon Monster,"" mampu memanggil badai salju besar.";;;4;Snover;0;1100;900;460;;
506;Lillipup;60;45;-;1;3;Normal;Ghost;Ghost;Tidak;Pokemon anjing yang selalu setia kepada pelatihnya dan sangat cepat belajar.;;;1;-;0;290;210;506;;
507;Herdier;80;65;Lillipup;2;3;Normal;Ghost;Ghost;Tidak;Herdier memiliki bulu yang sangat kuat, digunakan untuk melindungi tubuhnya dari serangan.;;;3;Lillipup;2;860;660;507;;
508;Stoutland;110;90;Herdier;3;3;Normal;Ghost;Ghost;Tidak;Stoutland dikenal karena keberaniannya dan selalu membantu orang-orang dalam bahaya.;;;5;Herdier;4;1490;1050;508;;
570;Zorua;85;40;-;1;2;Dark;Psychic, Ghost, Grass;Dark, Ghost, Bug;Tidak;Zorua menggunakan kemampuan transformasi untuk menipu dan mengecoh musuhnya.;;;2;-;-3;640;330;570;;
571;Zoroark;105;60;Zorua;2;2;Dark;Psychic, Ghost, Grass;Dark, Ghost, Bug;Tidak;Zoroark adalah Pokemon cerdik yang dapat menciptakan ilusi realistis untuk melindungi kawannya.;;;4;Zorua;-1;1250;740;571;;
607;Litwick;30;55;-;1;3;Ghost, Fire;Bug, Grass, Ice;Normal, Fire, Ghost;Tidak;Litwick menuntun orang ke jalan yang salah, sambil diam-diam menyerap energi hidup mereka.;;;1;-;-3;170;300;607;;
608;Lampent;40;60;Litwick;2;3;Ghost, Fire;Bug, Grass, Ice;Normal, Fire, Ghost;Tidak;Lampent mengapung di sekitar rumah sakit, menunggu jiwa yang akan meninggalkan dunia ini.;;;3;Litwick;-1;590;900;608;;
609;Chandelure;60;90;Lampent;3;3;Ghost, Fire;Bug, Grass, Ice;Normal, Fire, Ghost;Tidak;Chandelure dapat membakar jiwa seseorang, membuat korbannya berkelana tanpa tujuan.;;;5;Lampent;1;1020;1490;609;;
610;Axew;87;60;-;1;3;Dragon;Fire, Electric, Grass;Water, Fire, Electric;Tidak;Axew menggunakan taringnya yang tajam untuk menggali tanah dan menandai wilayahnya.;;;1;-;-4;270;190;610;;
611;Fraxure;117;70;Axew;2;3;Dragon;Fire, Electric, Grass;Water, Fire, Electric;Tidak;Fraxure dikenal sangat teritorial, dan menggunakan taringnya untuk melindungi daerahnya.;;;3;Axew;-2;900;580;611;;
612;Haxorus;147;90;Fraxure;3;3;Dragon;Fire, Electric, Grass;Water, Fire, Electric;Tidak;Haxorus sangat kuat, taringnya bisa menghancurkan baja dalam satu gigitan.;;;5;Fraxure;0;1550;950;612;;
629;Vullaby;55;75;-;1;2;Dark, Flying;Psychic, Bug, Grass;Dark, Ghost, Psychic;Tidak;Vullaby memakai cangkang sebagai perlindungan saat terbang mencari makanan.;;;2;-;-2;410;570;629;;
630;Mandibuzz;105;95;Vullaby;2;2;Dark, Flying;Psychic, Bug, Grass;Dark, Ghost, Psychic;Tidak;Mandibuzz berburu dengan kecerdasannya, menggunakan tulang-tulang sebagai senjata.;;;4;Vullaby;0;1050;950;630;;
633;Deino;65;50;-;1;3;Dark, Dragon;Psychic, Fire, Dark;Dark, Ghost, Psychic;Tidak;Deino selalu menyerang apa pun yang ada di dekatnya karena penglihatannya yang buruk.;;;1;-;-3;270;200;633;;
634;Zweilous;85;70;Deino;2;3;Dark, Dragon;Psychic, Fire, Dark;Dark, Ghost, Psychic;Tidak;Kedua kepala Zweilous sering bertengkar dan memperebutkan makanan.;;;3;Deino;-1;810;680;634;;
635;Hydreigon;105;90;Zweilous;3;3;Dark, Dragon;Psychic, Fire, Dark;Dark, Ghost, Psychic;Tidak;Hydreigon dikenal sangat agresif dan menyerang apa saja yang bergerak di sekitarnya.;;;5;Zweilous;1;1370;1140;635;;
650;Chespin;61;65;-;1;3;Grass;Ground, Water, Rock;Water, Ground, Grass;Tidak;Pokemon yang menggunakan duri di punggungnya untuk bertahan dari serangan musuh.;;;1;-;-4;220;240;650;;
651;Quilladin;78;95;Chespin;2;3;Grass;Ground, Water, Rock;Water, Ground, Grass;Tidak;Quilladin menggunakan tubuh kerasnya untuk menahan serangan kuat dari lawannya.;;;3;Chespin;-2;650;830;651;;
652;Chesnaught;107;122;Quilladin;3;3;Grass, Fighting;Rock, Dark, Ground;Ground, Grass, Rock;Tidak;Chesnaught sangat protektif terhadap teman-temannya dan memiliki pertahanan yang sangat kuat.;;;5;Quilladin;1;1190;1320;652;;
653;Fennekin;45;40;-;1;3;Fire;Bug, Grass, Ice;Fire, Steel, Grass;Tidak;Fennekin menggunakan telinganya untuk mengeluarkan api panas sebagai bentuk pertahanan.;;;1;-;-4;240;220;653;;
654;Braixen;59;58;Fennekin;2;3;Fire;Bug, Grass, Ice;Fire, Steel, Grass;Tidak;Braixen menggunakan tongkat yang ia simpan di ekornya untuk melemparkan api ke musuh.;;;3;Fennekin;-2;730;750;654;;
655;Delphox;69;72;Braixen;3;3;Fire, Psychic;Bug, Grass, Ice;Fire, Psychic, Grass;Tidak;Delphox menggunakan kemampuan psikisnya untuk memprediksi serangan lawan dan menyerang balik.;;;5;Braixen;1;1250;1260;655;;
656;Froakie;56;40;-;1;3;Water;Fire, Ground, Rock;Water, Fire, Ice;Tidak;Froakie menggunakan gelembung di lehernya sebagai bantal pelindung saat menyerang.;;;1;-;-4;270;190;656;;
657;Frogadier;63;52;Froakie;2;3;Water;Fire, Ground, Rock;Water, Fire, Ice;Tidak;Frogadier sangat cepat dan gesit, mampu menghindari serangan lawan dengan mudah.;;;3;Froakie;-2;790;690;657;;
658;Greninja;95;67;Frogadier;3;3;Water, Dark;Fire, Psychic, Ground;Fire, Dark, Ice;Tidak;Greninja dikenal karena kecepatannya yang luar biasa dan serangannya yang mematikan.;;;5;Frogadier;1;1500;1010;658;;
674;Pancham;82;62;-;1;2;Fighting;Rock, Steel, Dark;Bug, Rock, Dark;Tidak;Pancham sering meniru sikap pelatihnya dan memiliki sikap ceria tetapi kuat.;;;2;-;-3;540;430;674;;
675;Pangoro;124;78;Pancham;2;2;Fighting, Dark;Rock, Steel, Dark;Bug, Psychic, Dark;Tidak;Pangoro sangat protektif dan tidak akan membiarkan siapapun menindas yang lemah.;;;4;Pancham;0;1230;770;675;;
686;Inkay;54;53;-;1;2;Dark, Psychic;Dark, Ghost, Grass;Dark, Psychic, Ghost;Tidak;Inkay memiliki kemampuan untuk membalikkan situasi pertempuran dengan membingungkan lawannya.;;;2;-;-2;480;500;686;;
687;Malamar;92;88;Inkay;2;2;Dark, Psychic;Dark, Ghost, Grass;Dark, Psychic, Ghost;Tidak;Malamar menggunakan kemampuannya untuk menghipnotis dan mengendalikan pikiran lawan.;;;4;Inkay;0;1020;980;687;;
688;Binacle;52;67;-;1;2;Rock, Water;Fire, Flying, Steel;Fire, Ice, Steel;Tidak;Binacle hidup berpasangan, terjebak di batu dan saling bekerja sama untuk bertahan hidup.;;;2;-;-2;420;560;688;;
689;Barbaracle;105;115;Binacle;2;2;Rock, Water;Fire, Flying, Steel;Fire, Ice, Steel;Tidak;Barbaracle memiliki banyak lengan yang bekerja independen untuk bertahan dalam pertempuran.;;;4;Binacle;0;950;1050;689;;
694;Helioptile;38;33;-;1;2;Electric, Normal;Water, Flying, Steel;Electric, Steel, Flying;Tidak;Helioptile menggunakan energi matahari untuk menghasilkan listrik sebagai sumber energinya.;;;2;-;-2;510;470;694;;
695;Heliolisk;55;52;Helioptile;2;2;Electric, Normal;Water, Flying, Steel;Electric, Steel, Flying;Tidak;Heliolisk menggunakan kerudung di lehernya untuk menangkap sinar matahari dan menghasilkan listrik.;;;4;Helioptile;0;1030;970;695;;
704;Goomy;50;35;-;1;3;Dragon;Fire, Electric, Grass;Water, Fire, Electric;Tidak;Goomy adalah Pokemon berlendir yang selalu basah, dan tinggal di daerah lembab.;;;1;-;-4;270;190;704;;
705;Sliggoo;75;53;Goomy;2;3;Dragon;Fire, Electric, Grass;Water, Fire, Electric;Tidak;Sliggoo suka hidup di rawa-rawa, dan mampu melelehkan musuh dengan lendir beracun.;;;3;Goomy;-2;840;640;705;;
706;Goodra;100;70;Sliggoo;3;3;Dragon;Fire, Electric, Grass;Water, Fire, Electric;Tidak;Goodra sangat loyal kepada pelatihnya, meskipun penampilannya yang berlendir.;;;5;Sliggoo;0;1470;1030;706;;
710;Pumpkaboo;66;70;-;1;2;Ghost, Grass;Psychic, Water, Ground;Normal, Dark, Ghost;Tidak;Pumpkaboo ini berkeliaran di malam hari, menggunakan cahaya untuk menuntun roh.;;;2;-;-2;470;510;710;;
711;Gourgeist;85;122;Pumpkaboo;2;2;Ghost, Grass;Psychic, Water, Ground;Normal, Dark, Ghost;Tidak;Gourgeist ini bernyanyi lagu menakutkan untuk menakuti musuhnya.;;;4;Pumpkaboo;0;820;1180;711;;
712;Bergmite;69;85;-;1;2;Ice;Ground, Grass, Flying;Ice, Flying, Water;Tidak;Bergmite menjaga dirinya tetap beku dengan mengeluarkan udara dingin dari tubuhnya.;;;2;-;-3;420;550;712;;
713;Avalugg;117;184;Bergmite;2;2;Ice;Ground, Grass, Flying;Ice, Flying, Water;Tidak;Avalugg sangat kuat dan besar, seperti gunung es bergerak yang mampu menahan serangan fisik.;;;4;Bergmite;-1;760;1230;713;;
718;Zygarde (50%);100;121;-;1;1;Dragon, Ground;Fire, Rock, Electric;Dark, Ice, Ground;Ya;Zygarde menjaga keseimbangan ekosistem, dapat berubah bentuk jika diperlukan.;;;6;-;2;1410;1610;718;;
719;Diancie;160;110;-;1;1;Rock, Fairy;Dragon, Dark, Fire;Dragon, Dark, Ice;Ya;Diancie dapat menciptakan berlian dengan menekan karbon dalam udaranya.;;;6;-;2;1850;1170;719;;
719_1;Mega Diancie;160;110;Diancie;1;1;Rock, Fairy;Dragon, Dark, Fire;Dragon, Dark, Ice;Ya;Mega Diancie menjadi lebih kuat dan dapat melepaskan kristal tajam sebagai senjata.;;M/G;8;Diancie;5;2610;1440;719_1;719;v
720;Hoopa (Confined);110;60;-;1;1;Psychic, Ghost;Psychic, Ghost, Dark;Psychic, Ghost, Dark;Ya;Hoopa bisa memanipulasi dimensi, menggunakan cincin ajaibnya untuk memindahkan benda.;;;6;-;2;2020;1000;720;;
720_1;Hoopa (Unbound);160;60;-;1;1;Psychic, Dark;Psychic, Dark, Bug;Psychic, Dark, Ghost;Ya;Hoopa Unbound adalah bentuk sejati Hoopa, yang jauh lebih kuat dan destruktif.;;;6;-;2;2270;750;720_1;;
722;Rowlet;55;50;-;1;3;Grass, Flying;Ground, Rock, Water;Grass, Ground, Rock;Tidak;Rowlet menggunakan bulu-bulunya untuk menyamar di hutan dan mengintai musuhnya dari ketinggian.;;;1;-;-3;250;220;722;;
723;Dartrix;75;70;Rowlet;2;3;Grass, Flying;Ground, Rock, Water;Grass, Ground, Rock;Tidak;Dartrix menggunakan sayapnya dengan cerdik untuk melemparkan bulu tajam sebagai senjata.;;;3;Rowlet;-1;760;730;723;;
724;Decidueye;107;75;Dartrix;3;3;Grass, Ghost;Psychic, Water, Dark;Dark, Ground, Ghost;Tidak;Decidueye memiliki kemampuan untuk menembak panah dari jarak jauh dengan akurasi yang sempurna.;;;5;Dartrix;1;1500;1010;724;;
725;Litten;65;40;-;1;3;Fire;Ice, Bug, Grass;Fire, Ice, Grass;Tidak;Litten memiliki tubuh berbulu yang terbakar dan berubah menjadi bola api saat marah.;;;1;-;-4;280;180;725;;
726;Torracat;85;50;Litten;2;3;Fire;Ice, Bug, Grass;Fire, Ice, Grass;Tidak;Torracat memiliki kalung api yang menyala saat bersiap menyerang, melambangkan kekuatannya.;;;3;Litten;-2;910;570;726;;
727;Incineroar;115;90;Torracat;3;3;Fire, Dark;Ice, Bug, Psychic;Fire, Ice, Grass;Tidak;Incineroar dikenal sebagai petarung brutal yang menikmati pertarungan, menggunakan api untuk mengalahkan lawan.;;;5;Torracat;1;1430;1080;727;;
728;Popplio;54;54;-;1;3;Water;Fire, Ground, Rock;Water, Fire, Ice;Tidak;Popplio suka bermain di air dan sering menggunakan gelembung untuk menyerang.;;;1;-;-4;230;230;728;;
729;Brionne;69;69;Popplio;2;3;Water;Fire, Ground, Rock;Water, Fire, Ice;Tidak;Brionne suka menari untuk menghindari serangan, lalu menyerang balik dengan gelembung.;;;3;Popplio;-2;720;760;729;;
730;Primarina;74;74;Brionne;3;3;Water, Fairy;Dragon, Dark, Fire;Dark, Fire, Ice;Tidak;Primarina menggunakan nyanyiannya untuk menyerang dan menyembuhkan dengan kekuatan air.;;;5;Brionne;1;1280;1230;730;;
734;Yungoos;68;30;-;1;2;Normal;Ghost;Ghost, Dark;Tidak;Yungoos memiliki sifat agresif dan dikenal sebagai pemburu yang tak kenal lelah.;;;2;-;0;690;310;734;;
735;Gumshoos;110;60;Yungoos;2;2;Normal;Ghost;Ghost, Dark;Tidak;Gumshoos adalah pemburu yang sangat gigih, sering menguntit mangsanya sampai lelah.;;;4;Yungoos;2;1350;670;735;;
736;Grubbin;62;45;-;1;3;Bug;Grass, Dark, Psychic;Ground, Grass, Dark;Tidak;Grubbin menggunakan rahangnya yang kuat untuk menggali tanah dan menciptakan tempat tinggal.;;;1;-;-4;270;190;736;;
737;Charjabug;82;95;Grubbin;2;3;Bug, Electric;Water, Dark, Psychic;Flying, Steel, Electric;Tidak;Charjabug bertindak seperti baterai hidup, mampu menyimpan listrik dalam tubuhnya.;;;3;Grubbin;-1;680;810;737;;
738;Vikavolt;70;90;Charjabug;3;3;Bug, Electric;Water, Dark, Psychic;Flying, Steel, Electric;Tidak;Vikavolt memiliki serangan listrik yang sangat kuat, sering menyerang musuh dari kejauhan.;;;5;Charjabug;1;1120;1390;738;;
741;Oricorio (Baile);98;70;-;1;1;Fire, Flying;Bug, Ice, Grass;Fire, Ground, Flying;Tidak;Oricorio Baile memiliki tarian berapi-api yang memicu semangatnya untuk menyerang.;;;4;-;0;1170;830;741;;
741_1;Oricorio (Pom-Pom);98;70;-;1;1;Electric, Flying;Water, Ground, Flying;Electric, Dark, Ground;Tidak;Oricorio Pom-Pom menari dengan penuh energi listrik, memotivasi diri dan rekan setimnya.;;;4;-;0;1170;830;741_1;;
741_2;Oricorio (Pa'u);98;70;-;1;1;Psychic, Flying;Dark, Grass, Psychic;Psychic, Flying, Dark;Tidak;Oricorio Pa'u menari dengan tenang, mampu menyerang lawan dengan energi psikis.;;;4;-;0;1170;830;741_2;;
741_3;Oricorio (Sensu);98;70;-;1;1;Ghost, Flying;Ghost, Psychic, Bug;Ghost, Psychic, Dark;Tidak;Oricorio Sensu menari dengan elegan, mampu memanipulasi roh untuk menyerang musuhnya.;;;4;-;0;1170;830;741_3;;
744;Rockruff;65;40;-;1;2;Rock;Fire, Flying, Ice;Fire, Ice, Steel;Tidak;Rockruff adalah Pokemon yang penuh semangat, selalu mencari pelatih kuat untuk diikuti.;;;2;-;-3;580;390;744;;
745;Lycanroc (Midday);115;65;Rockruff;2;2;Rock;Fire, Flying, Ice;Fire, Ice, Steel;Tidak;Lycanroc Midday berlari dengan kecepatan tinggi dan menyerang dengan presisi menggunakan cakar batunya.;;;4;Rockruff;-1;1250;740;745;;
745_1;Lycanroc (Midnight);115;75;Rockruff;2;2;Rock;Fire, Flying, Ice;Fire, Ice, Steel;Tidak;Lycanroc Midnight memiliki sikap liar dan akan bertarung habis-habisan saat marah.;;;4;Rockruff;-1;1190;800;745_1;;
745_2;Lycanroc (Dusk);115;65;Rockruff;2;2;Rock;Fire, Flying, Ice;Fire, Ice, Steel;Tidak;Lycanroc Dusk menggabungkan kekuatan bentuk siang dan malam, membuatnya sangat tangguh.;;;4;Rockruff;-1;1250;740;745_2;;
777;Togedemaru;98;63;-;1;1;Electric, Steel;Water, Rock, Flying;Electric, Steel, Grass;Tidak;Togedemaru melindungi dirinya dengan duri-duri tajam di tubuhnya, dan mampu menyimpan listrik sebagai senjata.;;;4;-;0;1220;780;777;;
094_2;Gigantamax Gengar;65;60;Gengar;3;3;Ghost, Poison;Fairy, Psychic;Dark, Psychic, Ground;Tidak;Gengar berubah menjadi raksasa, dan mulutnya menjadi pintu dimensi yang bisa menelan segalanya.;;M/G;7;Gengar;5;2000;1550;094_2;094;v
143_1;Gigantamax Snorlax;110;65;Snorlax;1;1;Normal;Ghost;Psychic, Ghost, Steel;Tidak;Gigantamax Snorlax begitu besar dan tertutupi oleh pohon dan tanaman di perutnya yang telah menjadi hutan kecil.;;M/G;6;Snorlax;4;2040;1000;143_1;143;v
128;Tauros;100;95;-;1;1;Normal;Ghost, Bug;Ghost, Normal;Tidak;Tauros adalah Pokemon banteng yang sangat agresif, sering menyerang dengan kecepatan tinggi dan tanduknya yang kuat.;;;4;-;1;1050;960;128;;
849_1;Gigantamax Toxtricity;98;70;Toxtricity;2;2;Electric, Poison;Water, Fairy, Psychic;Steel, Flying, Dark;Tidak;Toxtricity berubah menjadi raksasa dan serangan listrik serta racunnya menjadi jauh lebih destruktif.;;M/G;6;Toxtricity;3;1860;1170;849_1;849;v
858_1;Gigantamax Hatterene;90;95;Hatterene;3;3;Psychic, Fairy;Dragon, Dark, Fighting;Dark, Ground, Psychic;Tidak;Hatterene dalam bentuk Gigantamax sangat berbahaya, menggunakan kekuatan psikis untuk menghancurkan mental musuhnya.;;M/G;7;Hatterene;4;1840;1700;858_1;858;v
861_1;Gigantamax Grimmsnarl;120;65;Grimmsnarl;3;3;Dark, Fairy;Dragon, Psychic, Ghost;Dark, Psychic, Ghost;Tidak;Gigantamax Grimmsnarl menggunakan rambutnya yang sangat panjang sebagai senjata untuk mengikat dan menghancurkan lawan.;;M/G;7;Grimmsnarl;4;2450;1090;861_1;861;v
892_1;Gigantamax Urshifu (Single Strike);130;100;Urshifu (Single Strike);2;2;Fighting, Dark;Psychic, Ghost;Dark, Psychic;Tidak;Urshifu dalam bentuk Gigantamax dapat melancarkan serangan mematikan yang menghancurkan apapun dalam jalurnya.;;M/G;6;Urshifu (Single Strike);5;1870;1180;892_1;892_1;v
892_2;Gigantamax Urshifu (Rapid Strike);130;100;Urshifu (Rapid Strike);2;2;Fighting, Water;Fire, Rock, Ground;Fire, Water, Steel;Tidak;Urshifu Gigantamax Rapid Strike memiliki kekuatan untuk meluncurkan serangan air yang mampu memotong baja.;;M/G;6;Urshifu (Rapid Strike);3;1800;1230;892_2;892_2;v
012;Butterfree;70;50;Metapod;3;3;Bug, Flying;Grass, Psychic, Dark;Grass, Bug, Ground;Tidak;Butterfree terbang menggunakan sayapnya yang mengeluarkan serbuk beracun untuk menyerang lawan.;;;5;Metapod;1;1490;1020;012;;
